,plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
17,80380MD,NY,COM,8599312327,11/02/2017,09:46A,BIKE LANE,,115.0,0.0,0.0,10.0,105.0,0.0,9.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVUWGhOYWsxNVRuYzlQUT09&locationName=_____________________)
18,JMY4441,NY,PAS,4677692294,01/29/2020,03:01P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZXVFZOYWtrMVRrRTlQUT09&locationName=_____________________)
19,75132JX,NY,COM,8528922133,06/19/2017,10:47A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,15.0,20.0,0.0,52.0,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xOYWtWNlRYYzlQUT09&locationName=_____________________)
20,BYS0081,FL,PAS,8538415438,06/12/2017,12:29P,NO PARKING-DAY/TIME LIMITS,,60.0,0.0,0.0,0.0,60.0,0.0,88.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhPVkZGNlQwRTlQUT09&locationName=_____________________)
21,GVK2968,NY,PAS,8478811126,03/27/2017,04:42P,EXPIRED MUNI METER,07/13/2017,65.0,60.0,0.12,0.06,125.06,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOVkVWNVRtYzlQUT09&locationName=_____________________)
22,22613MA,NY,COM,8478811461,03/29/2017,02:02P,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,25.0,40.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOVkZFeVRWRTlQUT09&locationName=_____________________)
23,GKZ9254,NY,PAS,8528922248,06/19/2017,01:24P,EXPIRED MUNI METER,,35.0,0.0,0.0,0.0,35.0,0.0,49.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xOYWtrd1QwRTlQUT09&locationName=_____________________)
24,ERV3671,NY,PAS,8478811801,04/04/2017,12:42P,FAIL TO DSPLY MUNI METER RECPT,,65.0,10.0,0.0,0.0,75.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOVkdkM1RWRTlQUT09&locationName=_____________________)
25,GRU5328,NY,PAS,8478811862,04/04/2017,02:35P,NO STANDING-HOTEL LOADING,,115.0,10.0,0.0,0.0,125.0,0.0,17.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOVkdjeVRXYzlQUT09&locationName=_____________________)
26,GUE7191,NY,PAS,8564407541,06/12/2017,07:26A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVWGRPZWxVd1RWRTlQUT09&locationName=_____________________)
27,LFB7366,PA,PAS,1448003519,12/11/2019,09:20P,NO STANDING-BUS STOP,,115.0,10.0,0.0,0.0,125.0,0.0,103.0,,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVRWGROZWxWNFQxRTlQUT09&locationName=_____________________)
28,33172MB,NY,COM,1355305081,11/26/2013,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VNVVUWGRPVkVFMFRWRTlQUT09&locationName=_____________________)
29,HLA4839,NY,PAS,8599313836,11/08/2017,02:24P,INSP. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,7.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVUWGhOZW1kNlRtYzlQUT09&locationName=_____________________)
30,97031JE,NY,COM,8599314737,11/13/2017,09:53A,FAIL TO DSPLY MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,7.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVUWGhPUkdONlRuYzlQUT09&locationName=_____________________)
31,95425MD,NY,COM,8599315183,11/14/2017,10:48A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,5.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVUWGhPVkVVMFRYYzlQUT09&locationName=_____________________)
32,M45EWH,NJ,PAS,8599517144,11/28/2017,01:44P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,34.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWWGhPZWtVd1RrRTlQUT09&locationName=_____________________)
33,DRW3470,NY,PAS,8528922388,06/19/2017,04:19P,OBSTRUCTING TRAFFIC/INTERSECT,,115.0,0.0,0.0,0.0,115.0,0.0,52.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xOYWswMFQwRTlQUT09&locationName=_____________________)
34,GYD5518,NY,PAS,8538415610,06/13/2017,08:29A,FRONT OR BACK PLATE MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhPVkZsNFRVRTlQUT09&locationName=_____________________)
35,GTW2834,NY,PAS,8478811849,04/04/2017,02:14P,NO STANDING-EXC. TRUCK LOADING,,95.0,10.0,0.0,0.0,105.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOVkdjd1QxRTlQUT09&locationName=_____________________)
36,FHZ8000,NY,PAS,8564407530,06/10/2017,11:55A,REG. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,102.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVWGRPZWxWNlRVRTlQUT09&locationName=_____________________)
37,GJT6724,NY,PAS,8564407498,06/10/2017,10:33A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,106.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVWGRPZWxFMVQwRTlQUT09&locationName=_____________________)
38,53996MG,NY,COM,8478812295,04/10/2017,12:48P,EXPIRED MUNI METER,,65.0,10.0,0.0,75.0,0.0,0.0,17.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOYWtrMVRsRTlQUT09&locationName=_____________________)
39,55178JZ,NY,COM,8484424546,06/26/2017,09:29A,NO PARKING-DAY/TIME LIMITS,,65.0,0.0,0.0,65.0,0.0,0.0,18.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxPUkZVd1RtYzlQUT09&locationName=_____________________)
40,HWH2102,NY,PAS,8596218889,02/19/2018,02:57P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,90.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VNXFTWGhQUkdjMFQxRTlQUT09&locationName=_____________________)
41,30SM18,NY,MOT,8599459715,11/03/2017,03:35P,INSP. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,90.0,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVVVEZQVkdONFRsRTlQUT09&locationName=_____________________)
42,JNK2414,NY,PAS,1448010494,12/12/2019,09:13P,NO STANDING-BUS STOP,,115.0,0.0,0.0,115.0,0.0,0.0,103.0,,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVRWGhOUkZFMVRrRTlQUT09&locationName=_____________________)
43,T687874C,NY,OMT,1448003520,12/11/2019,09:31P,NO STANDING-BUS STOP,,115.0,0.0,0.0,115.0,0.0,0.0,0.0,,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVRWGROZWxWNVRVRTlQUT09&locationName=_____________________)
44,JHN3648,NY,PAS,1448005899,12/22/2019,08:50A,OBSTRUCTING DRIVEWAY,,95.0,0.0,0.0,0.0,95.0,0.0,103.0,Q,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVRWGRPVkdjMVQxRTlQUT09&locationName=_____________________)
45,HMT6103,NY,PAS,1447187465,03/16/2022,03:40P,NO PARKING-EXC. HNDICAP PERMIT,,180.0,0.0,0.0,0.0,180.0,0.0,122.0,R,OTHER/UNKNOWN AGENCIES,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZSVFJPZWxFeVRsRTlQUT09&locationName=_____________________)
46,86634MB,NY,COM,8599504230,10/06/2017,02:14P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,15.0,20.0,0.0,30.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWWGRPUkVsNlRVRTlQUT09&locationName=_____________________)
47,T634873C,NY,OMT,8599514490,11/15/2017,03:55P,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,33.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWWGhPUkZFMVRVRTlQUT09&locationName=_____________________)
48,AHW6229,NY,PAS,8599514817,11/16/2017,01:06P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,35.0,0.0,0.0,34.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWWGhPUkdkNFRuYzlQUT09&locationName=_____________________)
49,H4B149,NY,PAS,8599515822,11/20/2017,05:36P,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,33.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWWGhPVkdkNVRXYzlQUT09&locationName=_____________________)
50,ENB2448,NY,PAS,8599515901,11/21/2017,09:09A,FAIL TO DSPLY MUNI METER RECPT,,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWWGhPVkd0M1RWRTlQUT09&locationName=_____________________)
51,7881CM,CT,CMB,8599553320,10/07/2017,10:14A,NO PARKING-EXC. AUTH. VEHICLE,,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWVEZOZWsxNVRVRTlQUT09&locationName=_____________________)
52,95908MB,NY,COM,8599555704,10/17/2017,01:52P,FAIL TO DSPLY MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,19.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWVEZPVkdOM1RrRTlQUT09&locationName=_____________________)
53,XY26FM,NJ,PAS,8599555728,10/17/2017,02:20P,EXPIRED MUNI METER,,65.0,0.0,0.0,65.0,0.0,0.0,19.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWVEZPVkdONVQwRTlQUT09&locationName=_____________________)
54,2XD424,OK,PAS,8599555900,10/18/2017,01:42P,PLTFRM LFTS LWRD POS COMM VEH,,65.0,0.0,0.0,65.0,0.0,0.0,20.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVWVEZPVkd0M1RVRTlQUT09&locationName=_____________________)
55,ERL6806,NY,PAS,7546189743,11/19/2010,10:32A,INSP. STICKER-EXPIRED/MISSING,03/10/2011,65.0,60.0,76.98,0.12,201.86,0.0,76.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wVk1FNXFSVFJQVkdNd1RYYzlQUT09&locationName=_____________________)
56,HNG1184,NY,OMS,8478812313,04/10/2017,01:16P,EXPIRED MUNI METER,,65.0,0.0,0.0,0.0,65.0,0.0,13.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOYWsxNFRYYzlQUT09&locationName=_____________________)
57,89741MD,NY,COM,8538415761,06/13/2017,10:01A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhPVkdNeVRWRTlQUT09&locationName=_____________________)
58,CDE1835,NY,PAS,8538415920,06/14/2017,09:30A,OBSTRUCTING TRAFFIC/INTERSECT,,115.0,0.0,0.0,0.0,115.0,0.0,90.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhPVkd0NVRVRTlQUT09&locationName=_____________________)
59,DZK3798,NY,PAS,8564407670,06/12/2017,10:39A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVWGRPZWxrelRVRTlQUT09&locationName=_____________________)
60,39776MA,NY,COM,8478812805,04/12/2017,04:48P,EXPIRED MUNI MTR-COMM MTR ZN,,65.0,0.0,0.0,65.0,0.0,0.0,10.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOYW1kM1RsRTlQUT09&locationName=_____________________)
61,51612JJ,NY,COM,8478812740,04/12/2017,02:49P,FAIL TO DSPLY MUNI METER RECPT,,65.0,0.0,0.0,0.0,65.0,0.0,10.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOYW1Nd1RVRTlQUT09&locationName=_____________________)
62,AR794G,NJ,PAS,8484424819,06/28/2017,06:04A,NO STANDING-DAY/TIME LIMITS,,115.0,10.0,0.0,125.0,0.0,0.0,18.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxPUkdkNFQxRTlQUT09&locationName=_____________________)
63,FPF2714,NY,PAS,1355309104,07/24/2013,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VNVVUWGRQVkVWM1RrRTlQUT09&locationName=_____________________)
64,GNK1595,NY,PAS,8564407851,06/13/2017,09:36A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,112.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVWGRPZW1jeFRWRTlQUT09&locationName=_____________________)
65,875EMT,NY,SRF,8538416078,06/14/2017,10:50A,DOUBLE PARKING,,115.0,0.0,0.0,115.0,0.0,0.0,90.0,K,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhPYWtFelQwRTlQUT09&locationName=_____________________)
66,EAS3655,NY,PAS,8528922674,06/23/2017,11:50A,NO STANDING-BUS STOP,,115.0,0.0,0.0,0.0,115.0,0.0,41.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xOYWxrelRrRTlQUT09&locationName=_____________________)
67,XR881X,NJ,PAS,8528922698,06/23/2017,11:58A,NO STOPPING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,41.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xOYWxrMVQwRTlQUT09&locationName=_____________________)
68,HFF8491,NY,PAS,8478812775,04/12/2017,04:14P,EXPIRED MUNI METER,07/27/2017,65.0,60.0,0.24,0.06,125.18,0.0,10.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOYW1NelRsRTlQUT09&locationName=_____________________)
69,80348MM,NY,COM,1463179741,10/30/2019,04:15P,NO STANDING-EXC. AUTH. VEHICLE,,95.0,0.0,0.0,35.0,60.0,0.0,17.0,NY,POLICE DEPARTMENT,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1rMTZSVE5QVkdNd1RWRTlQUT09&locationName=_____________________)
70,GKB4472,NY,PAS,1473483529,11/09/2021,11:42A,SIDEWALK,,115.0,0.0,0.0,0.0,115.0,0.0,7.0,NY,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZVVFJOZWxWNVQxRTlQUT09&locationName=_____________________)
71,HMJ5490,NY,OMS,8599612244,10/04/2017,08:07A,NO PARKING-DAY/TIME LIMITS,,60.0,0.0,0.0,0.0,60.0,0.0,94.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVXWGhOYWtrd1RrRTlQUT09&locationName=_____________________)
72,HET1317,NY,PAS,8599715641,11/28/2017,11:09A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,30.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVZM2hPVkZrd1RWRTlQUT09&locationName=_____________________)
73,DARLYN2,NY,SRF,8599623011,10/24/2017,03:48P,NO PARKING-DAY/TIME LIMITS,,60.0,10.0,0.0,0.0,70.0,0.0,73.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVXWGxOZWtGNFRWRTlQUT09&locationName=_____________________)
74,HGT7012,NY,PAS,8599630441,11/08/2017,07:38A,NO PARKING-EXC. AUTH. VEHICLE,,60.0,0.0,0.0,0.0,60.0,0.0,75.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVXWHBOUkZFd1RWRTlQUT09&locationName=_____________________)
75,HNG7744,NY,PAS,8478813226,04/17/2017,04:11P,NO STANDING-COMM METER ZONE,,115.0,10.0,0.0,0.0,125.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOZWtsNVRtYzlQUT09&locationName=_____________________)
76,HFG8450,NY,PAS,8478813240,04/17/2017,04:39P,NO STANDING-COMM METER ZONE,,115.0,10.0,0.0,0.0,125.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOZWtrd1RVRTlQUT09&locationName=_____________________)
77,XP495R,NJ,PAS,8484424923,06/28/2017,07:43A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,115.0,0.0,0.0,18.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxPUkd0NVRYYzlQUT09&locationName=_____________________)
